shipment_id,order_id,priority,warehouse_code,vehicle_id,vehicle_type,driver_id,driver_name,estimated_delivery,eta_status,decision_status,business_explanation
SHP000025,ORD000025,Express,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-10-05 07:30,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000026,ORD000026,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-10-27 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000027,ORD000027,Standard,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-09-20 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000028,ORD000028,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-03-23 01:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000029,ORD000029,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-11-03 07:30,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000030,ORD000030,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-08-28 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000031,ORD000031,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-12-15 09:00,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000032,ORD000032,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-05-18 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000033,ORD000033,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-08-11 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000034,ORD000034,Express,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-05-16 09:00,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000035,ORD000035,Standard,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-02-25 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000036,ORD000036,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-11-09 06:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000037,ORD000037,Express,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-03-25 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000038,ORD000038,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-11-05 18:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000039,ORD000039,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-07-08 06:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000040,ORD000040,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-10-20 00:48,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000041,ORD000041,Express,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-02-07 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000042,ORD000042,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-12-04 09:00,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000043,ORD000043,Standard,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-09-29 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000044,ORD000044,Express,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-06-11 07:30,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000045,ORD000045,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-08-15 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000046,ORD000046,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-04-26 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000047,ORD000047,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-10-11 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000048,ORD000048,Express,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-02-07 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000049,ORD000049,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-02-04 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000050,ORD000050,Express,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-05-04 09:00,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000051,ORD000051,Express,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-10-04 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000052,ORD000052,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-09-01 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000053,ORD000053,Express,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-02-18 09:00,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000054,ORD000054,Standard,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-08-05 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000055,ORD000055,Express,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-12-13 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000056,ORD000056,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-07-28 07:30,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000057,ORD000057,Standard,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-04-10 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000058,ORD000058,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-08-06 18:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000059,ORD000059,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-02-08 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000060,ORD000060,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-12-02 00:48,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000061,ORD000061,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-05-02 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000062,ORD000062,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-04-20 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000063,ORD000063,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-01-04 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000064,ORD000064,Express,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-08-07 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000065,ORD000065,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-03-23 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000066,ORD000066,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-10-25 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000067,ORD000067,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-02-01 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000068,ORD000068,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-10-01 09:00,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000069,ORD000069,Standard,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-04-09 01:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000070,ORD000070,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-07-28 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000071,ORD000071,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-11-03 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000072,ORD000072,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-12-04 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000073,ORD000073,Express,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-05-14 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000074,ORD000074,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-05-04 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000075,ORD000075,Express,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-08-24 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000076,ORD000076,Standard,MUM_NH,VEH003,Medium Truck,DRV001,Rahul Yadav,2025-08-25 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MUM_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000077,ORD000077,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-10-05 07:30,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000078,ORD000078,Standard,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-06-30 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000079,ORD000079,Standard,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-03-24 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000080,ORD000080,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-11-12 00:48,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000081,ORD000081,Express,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-10-13 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000082,ORD000082,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-03-10 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000083,ORD000083,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-10-11 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000084,ORD000084,Express,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-06-27 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000085,ORD000085,Standard,AMD_RDC,VEH018,Mini Truck,DRV018,Prakash Joshi,2025-05-18 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse AMD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000086,ORD000086,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-02-18 00:48,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000087,ORD000087,Express,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-01-02 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000088,ORD000088,Express,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-05-16 07:30,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000089,ORD000089,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-10-16 01:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000090,ORD000090,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-03-20 09:00,In Transit,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: In Transit.
SHP000091,ORD000091,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-10-10 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000092,ORD000092,Standard,DEL_RDC,VEH014,Mini Truck,DRV014,Sachin Patel,2025-06-07 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse DEL_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000093,ORD000093,Express,BLR_RDC,VEH023,Mini Truck,DRV024,Mohit Das,2025-12-17 01:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse BLR_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000094,ORD000094,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-10-16 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000095,ORD000095,Standard,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-05-04 15:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000096,ORD000096,Standard,MAA_RDC,VEH034,Mini Truck,DRV034,Dinesh Das,2025-04-03 00:40,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse MAA_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000097,ORD000097,Standard,HYD_RDC,VEH029,Mini Truck,DRV029,Akash Yadav,2025-05-10 03:00,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse HYD_RDC assigned. Vehicle Mini Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000098,ORD000098,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-07-15 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000099,ORD000099,Standard,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-08-26 18:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: Long Distance.
SHP000100,ORD000100,Standard,CCU_RDC,VEH036,Medium Truck,DRV040,Rajesh Sharma,2025-01-15 03:36,On Time,Operational Ready,Shipment is ready for dispatch. Warehouse CCU_RDC assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: On Time.
SHP000101,ORD000101,Express,NAG_NH,VEH008,Medium Truck,DRV007,Sunil Joshi,2025-05-24 18:00,Long Distance,Operational Ready,Shipment is ready for dispatch. Warehouse NAG_NH assigned. Vehicle Medium Truck allocated. Driver assigned successfully. ETA status: Long Distance.
