shipment_id,vehicle_id,driver_id,driver_name,driver_rating,license_type,decision_reason
SHP000072,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000073,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000074,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000075,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000076,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000077,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000078,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000079,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000080,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000081,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000082,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000083,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000084,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000085,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000086,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000087,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000088,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000089,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000090,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000091,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000092,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000093,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000094,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000095,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000096,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000097,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000098,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000099,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000100,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000101,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000102,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000103,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000104,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000105,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000106,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000107,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000108,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000109,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000110,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000111,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000112,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000113,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000114,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000115,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000116,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000117,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000118,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000119,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000120,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000121,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000122,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000123,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000124,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000125,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000126,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000127,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000128,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000129,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000130,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000131,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000132,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000133,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000134,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000135,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000136,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000137,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000138,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000139,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000140,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000141,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000142,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000143,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000144,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000145,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000146,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000147,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000148,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000149,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000150,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000151,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000152,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000153,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000154,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000155,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000156,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000157,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000158,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000159,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000160,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000161,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000162,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000163,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000164,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000165,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000166,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000167,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000168,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000169,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000170,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000171,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000172,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000173,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000174,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000175,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000176,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000177,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000178,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000179,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000180,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000181,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000182,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000183,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000184,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000185,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000186,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000187,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000188,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000189,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000190,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000191,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000192,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000193,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000194,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000195,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000196,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000197,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000198,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000199,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000200,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000201,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000202,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000203,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000204,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000205,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000206,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000207,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000208,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000209,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000210,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000211,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000212,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000213,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000214,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000215,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000216,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000217,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000218,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000219,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000220,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000221,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000222,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000223,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000224,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000225,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000226,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000227,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000228,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000229,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000230,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000231,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000232,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000233,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000234,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000235,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000236,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000237,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000238,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000239,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000240,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000241,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000242,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000243,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000244,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000245,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000246,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000247,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000248,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000249,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000250,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000251,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000252,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000253,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000254,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000255,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000256,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000257,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000258,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000259,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000260,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000261,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000262,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000263,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000264,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000265,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000266,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000267,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000268,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000269,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000270,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000271,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000272,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000273,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000274,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000275,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000276,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000277,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000278,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000279,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000280,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000281,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000282,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000283,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000284,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000285,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000286,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000287,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000288,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000289,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000290,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000291,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000292,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000293,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000294,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000295,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000296,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000297,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000298,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000299,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000300,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000301,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000302,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000303,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000304,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000305,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000306,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000307,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000308,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000309,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000310,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000311,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000312,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000313,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000314,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000315,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000316,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000317,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000318,VEH003,DRV001,Rahul Yadav,4.6,HMV,Highest Rated Driver
SHP000319,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000320,VEH008,DRV007,Sunil Joshi,4.6,HMV,Highest Rated Driver
SHP000321,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000322,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000323,VEH034,DRV034,Dinesh Das,3.9,LMV,Optimal
SHP000324,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
SHP000325,VEH023,DRV024,Mohit Das,4.5,LMV,Highest Rated Driver
SHP000326,VEH036,DRV040,Rajesh Sharma,4.9,HMV,Highest Rated Driver
SHP000327,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000328,VEH018,DRV018,Prakash Joshi,4.9,LMV,Highest Rated Driver
SHP000329,VEH014,DRV014,Sachin Patel,4.5,LMV,Highest Rated Driver
SHP000330,VEH029,DRV029,Akash Yadav,4.4,LMV,Highest Rated Driver
